NAME	FASTA	PLATFORM	ASSEMBLY_TYPE	COVERAGE	PROGRAM
MAG01	MAG01.fna.gz	Illumina	Metagenome-Assembled Genome (MAG)	30.5 	Megahit
MAG02	MAG02.fna.gz	Illumina	Metagenome-Assembled Genome (MAG)	52.8 	Megahit
MAG03	MAG03.fna.gz	Illumina	Metagenome-Assembled Genome (MAG)	83.7 	Megahit
MAG04	MAG04.fna.gz	Illumina	Metagenome-Assembled Genome (MAG)	38.3 	Megahit
MAG05	MAG05.fna.gz	Illumina	Metagenome-Assembled Genome (MAG)	31.2 	Megahit
MAG06	MAG06.fna.gz	Illumina	Metagenome-Assembled Genome (MAG)	249.0 	Megahit
MAG07	MAG07.fna.gz	Illumina	Metagenome-Assembled Genome (MAG)	69.8 	Megahit
MAG08	MAG08.fna.gz	Illumina	Metagenome-Assembled Genome (MAG)	254.9 	Megahit
MAG09	MAG09.fna.gz	Illumina	Metagenome-Assembled Genome (MAG)	107.8 	Megahit
MAG10	MAG10.fna.gz	Illumina	Metagenome-Assembled Genome (MAG)	15.5 	Megahit
MAG11	MAG11.fna.gz	Illumina	Metagenome-Assembled Genome (MAG)	119.8 	Megahit
MAG12	MAG12.fna.gz	Illumina	Metagenome-Assembled Genome (MAG)	47.0 	Megahit
MAG13	MAG13.fna.gz	Illumina	Metagenome-Assembled Genome (MAG)	44.0 	Megahit
MAG14	MAG14.fna.gz	Illumina	Metagenome-Assembled Genome (MAG)	74.3 	Megahit
MAG15	MAG15.fna.gz	Illumina	Metagenome-Assembled Genome (MAG)	90.6 	Megahit
MAG16	MAG16.fna.gz	Illumina	Metagenome-Assembled Genome (MAG)	111.4 	Megahit
MAG17	MAG17.fna.gz	Illumina	Metagenome-Assembled Genome (MAG)	35.4 	Megahit
MAG18	MAG18.fna.gz	Illumina	Metagenome-Assembled Genome (MAG)	43.5 	Megahit
MAG19	MAG19.fna.gz	Illumina	Metagenome-Assembled Genome (MAG)	73.2 	Megahit
MAG20	MAG20.fna.gz	Illumina	Metagenome-Assembled Genome (MAG)	79.4 	Megahit
MAG21	MAG21.fna.gz	Illumina	Metagenome-Assembled Genome (MAG)	239.6 	Megahit
MAG22	MAG22.fna.gz	Illumina	Metagenome-Assembled Genome (MAG)	46.6 	Megahit
MAG23	MAG23.fna.gz	Illumina	Metagenome-Assembled Genome (MAG)	59.4 	Megahit
MAG24	MAG24.fna.gz	Illumina	Metagenome-Assembled Genome (MAG)	92.5 	Megahit
MAG25	MAG25.fna.gz	Illumina	Metagenome-Assembled Genome (MAG)	151.9 	Megahit
MAG26	MAG26.fna.gz	Illumina	Metagenome-Assembled Genome (MAG)	103.0 	Megahit
MAG27	MAG27.fna.gz	Illumina	Metagenome-Assembled Genome (MAG)	165.8 	Megahit
MAG28	MAG28.fna.gz	Illumina	Metagenome-Assembled Genome (MAG)	71.6 	Megahit
MAG29	MAG29.fna.gz	Illumina	Metagenome-Assembled Genome (MAG)	42.5 	Megahit
MAG30	MAG30.fna.gz	Illumina	Metagenome-Assembled Genome (MAG)	69.7 	Megahit
MAG31	MAG31.fna.gz	Illumina	Metagenome-Assembled Genome (MAG)	13.8 	Megahit
MAG32	MAG32.fna.gz	Illumina	Metagenome-Assembled Genome (MAG)	168.7 	Megahit
MAG33	MAG33.fna.gz	Illumina	Metagenome-Assembled Genome (MAG)	155.3 	Megahit
MAG34	MAG34.fna.gz	Illumina	Metagenome-Assembled Genome (MAG)	60.2 	Megahit
MAG35	MAG35.fna.gz	Illumina	Metagenome-Assembled Genome (MAG)	75.8 	Megahit
MAG36	MAG36.fna.gz	Illumina	Metagenome-Assembled Genome (MAG)	41.2 	Megahit
MAG37	MAG37.fna.gz	Illumina	Metagenome-Assembled Genome (MAG)	77.6 	Megahit
MAG38	MAG38.fna.gz	Illumina	Metagenome-Assembled Genome (MAG)	24.8 	Megahit
MAG39	MAG39.fna.gz	Illumina	Metagenome-Assembled Genome (MAG)	24.9 	Megahit
MAG40	MAG40.fna.gz	Illumina	Metagenome-Assembled Genome (MAG)	20.7 	Megahit
MAG41	MAG41.fna.gz	Illumina	Metagenome-Assembled Genome (MAG)	55.1 	Megahit
MAG42	MAG42.fna.gz	Illumina	Metagenome-Assembled Genome (MAG)	13.1 	Megahit
MAG43	MAG43.fna.gz	Illumina	Metagenome-Assembled Genome (MAG)	57.6 	Megahit
MAG44	MAG44.fna.gz	Illumina	Metagenome-Assembled Genome (MAG)	47.8 	Megahit
MAG45	MAG45.fna.gz	Illumina	Metagenome-Assembled Genome (MAG)	87.9 	Megahit
MAG46	MAG46.fna.gz	Illumina	Metagenome-Assembled Genome (MAG)	43.1 	Megahit
MAG47	MAG47.fna.gz	Illumina	Metagenome-Assembled Genome (MAG)	78.0 	Megahit
MAG48	MAG48.fna.gz	Illumina	Metagenome-Assembled Genome (MAG)	58.2 	Megahit
MAG49	MAG49.fna.gz	Illumina	Metagenome-Assembled Genome (MAG)	96.0 	Megahit
MAG50	MAG50.fna.gz	Illumina	Metagenome-Assembled Genome (MAG)	89.6 	Megahit
MAG51	MAG51.fna.gz	Illumina	Metagenome-Assembled Genome (MAG)	72.3 	Megahit
MAG52	MAG52.fna.gz	Illumina	Metagenome-Assembled Genome (MAG)	107.2 	Megahit
MAG53	MAG53.fna.gz	Illumina	Metagenome-Assembled Genome (MAG)	45.5 	Megahit
MAG54	MAG54.fna.gz	Illumina	Metagenome-Assembled Genome (MAG)	204.1 	Megahit
MAG55	MAG55.fna.gz	Illumina	Metagenome-Assembled Genome (MAG)	178.8 	Megahit
MAG56	MAG56.fna.gz	Illumina	Metagenome-Assembled Genome (MAG)	53.6 	Megahit
MAG57	MAG57.fna.gz	Illumina	Metagenome-Assembled Genome (MAG)	195.0 	Megahit
MAG58	MAG58.fna.gz	Illumina	Metagenome-Assembled Genome (MAG)	34.0 	Megahit
MAG59	MAG59.fna.gz	Illumina	Metagenome-Assembled Genome (MAG)	38.0 	Megahit
MAG60	MAG60.fna.gz	Illumina	Metagenome-Assembled Genome (MAG)	55.2 	Megahit
MAG61	MAG61.fna.gz	Illumina	Metagenome-Assembled Genome (MAG)	51.5 	Megahit
MAG62	MAG62.fna.gz	Illumina	Metagenome-Assembled Genome (MAG)	68.7 	Megahit
MAG63	MAG63.fna.gz	Illumina	Metagenome-Assembled Genome (MAG)	50.0 	Megahit
MAG64	MAG64.fna.gz	Illumina	Metagenome-Assembled Genome (MAG)	32.6 	Megahit
MAG65	MAG65.fna.gz	Illumina	Metagenome-Assembled Genome (MAG)	107.9 	Megahit
MAG66	MAG66.fna.gz	Illumina	Metagenome-Assembled Genome (MAG)	74.3 	Megahit
MAG67	MAG67.fna.gz	Illumina	Metagenome-Assembled Genome (MAG)	207.8 	Megahit
MAG68	MAG68.fna.gz	Illumina	Metagenome-Assembled Genome (MAG)	64.2 	Megahit
